Sentence ID,System,Dataset,Edit Type,Input Text,Output Text,Input Index,Output Index,has_specialized_terms,contains_named_entity
ChatGPT_001,ChatGPT,wikiEN,substitution,designated,called,"[[17, 27]]","[[18, 24]]",FALSE,FALSE
ChatGPT_001,ChatGPT,wikiEN,insertion,,the,,"[[43, 46]]",FALSE,FALSE
ChatGPT_001,ChatGPT,wikiEN,split,,,,,FALSE,FALSE
ChatGPT_001,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_002,ChatGPT,wikiEN,deletion,capital city of,,"[[19, 34]]",,FALSE,TRUE
ChatGPT_002,ChatGPT,wikiEN,substitution,the road extends,goes,"[[43, 59]]","[[30, 34]]",FALSE,FALSE
ChatGPT_002,ChatGPT,wikiEN,deletion,the town of,,"[[138, 149]]",,FALSE,FALSE
ChatGPT_002,ChatGPT,wikiEN,deletion,international,,"[[101, 114]]",,FALSE,FALSE
ChatGPT_002,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_002,ChatGPT,wikiEN,reorder,the road,The road,"[[43, 51]]","[[0, 8]]",FALSE,FALSE
ChatGPT_002,ChatGPT,wikiEN,deletion,ultimately terminating,,"[[71, 93]]",,TRUE,FALSE
ChatGPT_003,ChatGPT,wikiEN,substitution,facilitates connectivity between,connects,"[[57, 89]]","[[65, 73]]",TRUE,FALSE
ChatGPT_003,ChatGPT,wikiEN,substitution,playing a role,helps,"[[132, 146]]","[[118, 123]]",FALSE,FALSE
ChatGPT_003,ChatGPT,wikiEN,deletion,in the nation's,,"[[147, 162]]",,FALSE,FALSE
ChatGPT_003,ChatGPT,wikiEN,split,,,,,FALSE,FALSE
ChatGPT_003,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_004,ChatGPT,wikiEN,substitution,commences,starts,"[[13, 22]]","[[13, 19]]",FALSE,FALSE
ChatGPT_004,ChatGPT,wikiEN,substitution,heart,center,"[[30, 35]]","[[27, 33]]",FALSE,FALSE
ChatGPT_004,ChatGPT,wikiEN,substitution,forms,is,"[[126, 131]]","[[119, 121]]",FALSE,FALSE
ChatGPT_004,ChatGPT,wikiEN,deletion,city,,"[[59, 63]]",,FALSE,FALSE
ChatGPT_005,ChatGPT,wikiEN,substitution,along this stretch,here,"[[12, 30]]","[[9, 13]]",FALSE,FALSE
ChatGPT_005,ChatGPT,wikiEN,substitution,The terrain,The land,"[[0, 11]]","[[0, 8]]",FALSE,FALSE
ChatGPT_005,ChatGPT,wikiEN,insertion,,mostly,,"[[17, 23]]",FALSE,FALSE
ChatGPT_005,ChatGPT,wikiEN,substitution,to,or,"[[56, 58]]","[[29, 31]]",FALSE,FALSE
ChatGPT_005,ChatGPT,wikiEN,deletion,"land,",,"[[74, 79]]",,FALSE,FALSE
ChatGPT_005,ChatGPT,wikiEN,substitution,sparse,few,"[[134, 140]]","[[89, 92]]",FALSE,FALSE
ChatGPT_005,ChatGPT,wikiEN,substitution,low forestation,small forests.,"[[151, 166]]","[[104, 118]]",TRUE,FALSE
ChatGPT_005,ChatGPT,wikiEN,deletion,elsewhere.,,"[[167, 177]]",,FALSE,FALSE
ChatGPT_005,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_005,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_006,ChatGPT,wikiEN,insertion,,who was a,,"[[50, 59]]",FALSE,FALSE
ChatGPT_006,ChatGPT,wikiEN,insertion,,also named,,"[[108, 118]]",FALSE,FALSE
ChatGPT_006,ChatGPT,wikiEN,deletion,"the younger,",,"[[131, 143]]",,FALSE,FALSE
ChatGPT_006,ChatGPT,wikiEN,substitution,"a promising rhetorician,",being good at rhetoric,"[[164, 188]]","[[185, 207]]",TRUE,FALSE
ChatGPT_006,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_006,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_006,ChatGPT,wikiEN,insertion,,They,,"[[81, 85]]",FALSE,FALSE
ChatGPT_006,ChatGPT,wikiEN,split,,,,,FALSE,FALSE
ChatGPT_006,ChatGPT,wikiEN,substitution,who,Their son,"[[144, 147]]","[[160, 169]]",FALSE,FALSE
ChatGPT_006,ChatGPT,wikiEN,split,,,,,FALSE,FALSE
ChatGPT_007,ChatGPT,wikiEN,insertion,,in,,"[[105, 107]]",FALSE,FALSE
ChatGPT_007,ChatGPT,wikiEN,substitution,of,in,"[[24, 26]]","[[24, 26]]",FALSE,FALSE
ChatGPT_007,ChatGPT,wikiEN,split,,,,,FALSE,FALSE
ChatGPT_007,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_008,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_008,ChatGPT,wikiEN,substitution,was proficient in,learned,"[[70, 87]]","[[10, 17]]",TRUE,FALSE
ChatGPT_008,ChatGPT,wikiEN,substitution,Influenced by,because,"[[0, 13]]","[[49, 56]]",FALSE,FALSE
ChatGPT_009,ChatGPT,wikiEN,substitution,waited for,awaited,"[[69, 79]]","[[54, 61]]",FALSE,FALSE
ChatGPT_009,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_009,ChatGPT,wikiEN,substitution,imprisoned,"put in jail,","[[54, 64]]","[[37, 49]]",FALSE,FALSE
ChatGPT_010,ChatGPT,wikiEN,split,,,,,FALSE,FALSE
ChatGPT_010,ChatGPT,wikiEN,substitution,halogenated derivative of nicotinic acid,changed form of nicotinic acid with added halogen.,"[[36, 76]]","[[36, 86]]",TRUE,FALSE
ChatGPT_010,ChatGPT,wikiEN,substitution,a variety of,many,"[[130, 142]]","[[109, 113]]",FALSE,FALSE
ChatGPT_010,ChatGPT,wikiEN,substitution,including,like,"[[167, 176]]","[[134, 138]]",FALSE,FALSE
ChatGPT_011,ChatGPT,wikiEN,substitution,species,type,"[[28, 35]]","[[28, 32]]",FALSE,FALSE
ChatGPT_011,ChatGPT,wikiEN,substitution,predominantly,mainly,"[[56, 69]]","[[47, 53]]",FALSE,FALSE
ChatGPT_011,ChatGPT,wikiEN,reorder,found,found,"[[50, 55]]","[[54, 59]]",FALSE,FALSE
ChatGPT_011,ChatGPT,wikiEN,deletion,the U.S. state of,,"[[84, 101]]",,FALSE,TRUE
ChatGPT_012,ChatGPT,wikiEN,substitution,rivalry,fight,"[[48, 55]]","[[38, 43]]",FALSE,FALSE
ChatGPT_012,ChatGPT,wikiEN,substitution,"the sons of Cochise,","Cochise's sons,","[[61, 81]]","[[49, 64]]",FALSE,TRUE
ChatGPT_012,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_012,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_012,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_013,ChatGPT,wikiEN,substitution,led to,caused,"[[12, 18]]","[[12, 18]]",FALSE,FALSE
ChatGPT_013,ChatGPT,wikiEN,reorder,the Chiricahua,the Chiricahua,"[[44, 58]]","[[19, 33]]",TRUE,TRUE
ChatGPT_013,ChatGPT,wikiEN,substitution,the forced relocation,to be moved,"[[19, 40]]","[[34, 45]]",FALSE,FALSE
ChatGPT_014,ChatGPT,wikiEN,substitution,remained,stayed,"[[38, 46]]","[[10, 16]]",FALSE,FALSE
