dataset,sentence_id,Original Sentence,sentence_has_specialized_terms,sentence_contains_named_entity
scotus,1,"To determine whether Corner Post’s APA claim is timely, the Court must interpret §2401(a), which provides that civil actions against the United States “shall be barred unless the complaint is filed within six years after the right of action first accrues.”",TRUE,TRUE
scotus,2,"While the Board argues that §2401(a) should not be interpreted to adopt a “challenger-by-challenger” approach, the standard accrual rule that §2401(a) exemplifies is plaintiff specific.",TRUE,TRUE
scotus,3,"Importantly, contemporaneous dictionaries also explained that a cause of action accrues ""on [the] date that damage is sustained and not [the] date when causes are set in motion which ultimately produce injury.""",TRUE,FALSE
scotus,4,"The Board leaves open the possibility that someone could bring an asapplied challenge to a rule when the agency relies on that rule in enforcement proceedings against that person, even if more than six years have passed since the rule’s promulgation.",TRUE,TRUE
scotus,5,"The APA provisions grant Corner Post a cause of action subject to certain conditions, and §2401(a) sets the window within which Corner Post can assert its claim.",TRUE,TRUE
scotus,6,Statutes of limitations ‘require plaintiffs to pursue diligent prosecution of known claims’; statutes of repose reflect a ‘legislative judgment that a defendant should be free from liability after the legislatively determined period of time.’,TRUE,FALSE
scotus,7,"The Board’s interpretation would thereby decouple the statute of limitations from any injury ‘such that the limitations period begins to run before a plaintiff can file a suit’—for some, but not all, suits governed by §2401(a).",TRUE,TRUE
scotus,8,The Board’s arguments to the contrary lack merit.,FALSE,TRUE
scotus,9,Departing from the traditional rule is particularly inappropriate here because contemporaneous statutes demonstrate that Congress in 1948 knew how to create a limitations period that begins with the defendant’s action instead of the plaintiff’s injury.,TRUE,TRUE
scotus,10,"While §702 equips injured parties with a cause of action, §704 limits the agency actions that are subject to judicial review.",TRUE,TRUE
scotus,11,This traditional rule constitutes a strong background presumption.,FALSE,FALSE
scotus,12,"Notwithstanding Crown Coat’s holding, the Board and the dissent try to marshal support from its dicta.",TRUE,TRUE
scotus,13,"Absent vacatur, the remedy for a regulated plaintiff would not automatically extend to other regulated parties.",TRUE,FALSE
scotus,14,The Government’s current position on vacatur would de facto overrule Abbott Laboratories as to suits by unregulated parties.,TRUE,TRUE
scotus,15,"To decide the facial challenges here, the courts below must explore the laws’ full range of applications—the constitutionally impermissible and permissible both—and compare the two sets.",TRUE,TRUE
scotus,16,But that conclusion would rest on a serious misunderstanding of First Amendment precedent and principle.,TRUE,TRUE
scotus,17,That controversy sounds a familiar note: We have repeatedly faced the question whether ordering a party to provide a forum for someone else’s views implicates the First Amendment.,TRUE,TRUE
scotus,18,"The Court has repeatedly held that ordering a party to provide a forum for someone else’s views implicates the First Amendment if, though only if, the regulated party is engaged in its own expressive activity, which the mandated access would alter or disrupt.",TRUE,TRUE
scotus,19,"From that slew of individual cases, three general points emerge.",FALSE,TRUE
scotus,20,"First, the First Amendment offers protection when an entity engaged in compiling and curating others’ speech into an expressive product of its own is directed to accommodate messages it would prefer to exclude.",TRUE,TRUE
scotus,21,"The next order of business is to decide which of the laws’ applications violate the First Amendment, and to measure them against the rest.",TRUE,TRUE
scotus,22,"To ensure “the free exchange of ideas and information,” H. B. 20 requires regulated platforms to abide by the following content-moderation and disclosure requirements.",TRUE,TRUE
scotus,23,"However, the law allows platforms to censor speech that: federal law “specifically authorize[s]” them to censor; speech that the platform is told sexually exploits children or survivors of sexual abuse; speech that “directly incites criminal activity or consists of specific threats of violence targeted against a person or group because of race, color, disability, religion, national origin or ancestry, age, sex or status as peace officer or judge”; and speech that is otherwise unlawful or has been the subject of a user’s request for removal from his or her feed or profile.",TRUE,FALSE
scotus,24,"NetChoice contends that the Florida and Texas statutes facially violate the First Amendment, meaning that they cannot be applied to anyone at any time under any circumstances without violating the Constitution",TRUE,TRUE
scotus,25,"Represented by sophisticated counsel, NetChoice made the deliberate choice to mount a facial challenge to both laws, and in doing so, it obviously knew what it would have to show in order to prevail.",TRUE,TRUE
