complex_sentence,simplified_sentence
"TEP technique may carry a higher risk of conversion to another hernia repair method (either TAPP technique or open surgery) when compared to TAPP (2.5% versus 0.7%; OR 0.28, 95% CI 0.09 to 0.84, P = 0.02, I2 = 0%; 13 studies, 1178 participants; low certainty of evidence).","TEP technique may carry a higher risk of conversion when compared to TAPP (2.5 % versus 0.7 % ; OR 0.28 P). This was to another hernia repair method (either TAPP technique). This was to another hernia repair method (open surgery). = 0.02 OR 0.28 P. OR 0.28 P = 0.02 was I2 = 0 % ; 13 studies, 1178 participants ; low certainty of evidence. 2.5 % versus 0.7 % ; OR 0.28 was 95 % CI 0.09 to 0.84."
An inguinal hernia occurs when part of the intestine protrudes through the abdominal muscles. ,An inguinal hernia occurs. Part of the intestine protrudes through the abdominal muscles.
There may be little to no difference between TAPP and TEP laparoscopic techniques for serious adverse events and hernia recurrence.,There may be little to no difference between TAPP and TEP laparoscopic techniques for serious adverse events. There may be little to no difference between TAPP and TEP laparoscopic techniques for hernia recurrence.
TEP technique may carry a higher risk of conversion to another hernia repair method (either TAPP technique or open surgery) when compared to TAPP.,TEP technique may carry a higher risk of conversion when compared to TAPP. This was to another hernia repair method (either TAPP technique). This was to another hernia repair method (open surgery).
"CBT may result in a small‐to‐moderate reduction of anxiety post‐treatment (SMD ‐0.51, 95% CI ‐0.66 to ‐0.36, low‐certainty evidence). ",CBT may result in a small‐to‐moderate reduction of anxiety post‐treatment (SMD 0.51 low‐certainty evidence). SMD 0.51 is 95 % CI 0.66 to 0.36.
"However, compared to this benefit with CBT immediately after treatment, at three to six months post‐treatment, there was little to no difference between CBT and minimal management (SMD ‐0.29, 95% CI ‐0.59 to 0.01, low‐certainty evidence).",There was little to no difference between CBT (SMD 0.29 low‐certainty evidence). There was little to no difference between minimal management (SMD 0.29 low‐certainty evidence). This was at three to six months. This was immediately after treatment post‐treatment. This was however. This was compared to this benefit with CBT. SMD 0.29 was 95 % CI 0.59 to 0.01.
"CBT may result in a reduction of comorbid depression symptoms post‐treatment (SMD ‐0.57, 95% CI ‐0.74 to ‐0.40, low‐certainty evidence).",CBT may result in a reduction of comorbid depression symptoms post‐treatment (SMD 0.57 low‐certainty evidence). SMD 0.57 is 95 %. CI 0.74 to 0.40 95 %.
There is not enough evidence to determine whether CBT is more effective than alternative psychological therapies for anxiety in older adults.,There is not enough evidence to determine whether CBT is more effective than alternative psychological therapies for anxiety in older adults.
"To assess the effects of Cognitive Behavioural Therapy (CT, BT, CBT and third‐wave CBT interventions) on severity of anxiety symptoms compared with minimal management (not providing therapy) for anxiety and related disorders in older adults, aged 55 years or over. ","To assess the effects of Cognitive Behavioural Therapy (CT, BT, CBT and third‐wave CBT interventions). This was on severity of anxiety symptoms. This was compared with minimal management (not providing therapy) for anxiety and related disorders in older adults, aged 55 years or over."
"Percutaneous and surgical interventions combined with albendazole can be used to treat uncomplicated hepatic cystic echinococcosis; however, there is a scarcity of randomised evidence directly comparing these interventions. ",Percutaneous can be used to treat uncomplicated hepatic cystic echinococcosis. Surgical interventions combined with albendazole can be used to treat uncomplicated hepatic cystic echinococcosis. There is a scarcity of randomised evidence. Randomised evidence is comparing these interventions.
To evaluate the benefits and harms of preoperative statin therapy in adults undergoing cardiac surgery compared to standard of care or placebo. ,To evaluate the benefits and harms of preoperative statin therapy. This was in adults. Adults were undergoing cardiac surgery. This was compared to standard of care or placebo.
"We included all randomised controlled trials (RCTs) comparing any statin treatment before cardiac surgery, for any given duration and dose, versus no preoperative statin therapy (standard of care) or placebo. ",We included. All randomised controlled trials (RCTs) versus no preoperative statin therapy (standard of care). All randomised controlled trials (RCTs) versus placebo. This was for any given duration. This was for dose. Controlled trials (RCTs) were comparing any statin treatment. This was before cardiac surgery.
