Original,Simplified
"To determine whether Corner Post’s APA claim is timely, the Court must interpret §2401(a), which provides that civil actions against the United States “shall be barred unless the complaint is filed within six years after the right of action first accrues.”","To determine whether Corner Post's APA claim is timely, the Court must interpret §2401(a), which states that civil actions against the United States must be filed within six years after the right of action first comes into effect."
"While the Board argues that §2401(a) should not be interpreted to adopt a “challenger-by-challenger” approach, the standard accrual rule that §2401(a) exemplifies is plaintiff specific.","The Board argues that §2401(a) should not be interpreted to mean a ""challenger-by-challenger"" approach. The standard accrual rule that §2401(a) describes is specific to the plaintiff."
"Importantly, contemporaneous dictionaries also explained that a cause of action accrues ""on [the] date that damage is sustained and not [the] date when causes are set in motion which ultimately produce injury.""","A cause of action, on the other hand, is ""on the date that damage is sustained and not on the date when causes are set in motion which ultimately produce injury."""
"The Board leaves open the possibility that someone could bring an asapplied challenge to a rule when the agency relies on that rule in enforcement proceedings against that person, even if more than six years have passed since the rule’s promulgation.","The Board leaves open the possibility that someone could bring an asapplied challenge to a rule even if more than six years have passed since the rule was published, when the agency relies on that rule in enforcement proceedings."
"The APA provisions grant Corner Post a cause of action subject to certain conditions, and §2401(a) sets the window within which Corner Post can assert its claim.",The APA provisions grant Corner Post a cause of action subject to certain conditions. §2401(a) sets out the conditions within which Corner Post can bring its claim.
Statutes of limitations ‘require plaintiffs to pursue diligent prosecution of known claims’; statutes of repose reflect a ‘legislative judgment that a defendant should be free from liability after the legislatively determined period of time.’,"Statutes of limitations require plaintiffs to pursue known claims vigorously; statutes of repose reflect a ""legislative judgment that a defendant should be free from liability after a set period of time has passed."
"The Board’s interpretation would thereby decouple the statute of limitations from any injury ‘such that the limitations period begins to run before a plaintiff can file a suit’—for some, but not all, suits governed by §2401(a).","According to the Board, the statute of limitations should be separated from any injury so that the limitations period begins before a plaintiff can file a suit. For some, but not all, suits governed by §2401(a)."
The Board’s arguments to the contrary lack merit.,The board's arguments to the contrary are without merit.
Departing from the traditional rule is particularly inappropriate here because contemporaneous statutes demonstrate that Congress in 1948 knew how to create a limitations period that begins with the defendant’s action instead of the plaintiff’s injury.,It is particularly inappropriate to depart from the traditional rule here because Congress in 1948 knew how to create a limitations period that begins with the defendant's action instead of the plaintiff's injury.
"While §702 equips injured parties with a cause of action, §704 limits the agency actions that are subject to judicial review.","While §702 provides injured parties with a cause of action, §704 limits what judicial review can take place."
This traditional rule constitutes a strong background presumption.,This standard rule creates a strong background presumption.
"Notwithstanding Crown Coat’s holding, the Board and the dissent try to marshal support from its dicta.","Even though Crown Coat holds, the Board and the dissent try to get support from its dicta."
