complex_sentence,simplified_sentence
"To determine whether Corner Post’s APA claim is timely, the Court must interpret §2401(a), which provides that civil actions against the United States “shall be barred unless the complaint is filed within six years after the right of action first accrues.”","To decide if Corner Post’s APA claim is on time, the Court needs to understand §2401(a). This section says that lawsuits against the United States must be filed within six years after the right to sue starts."
"While the Board argues that §2401(a) should not be interpreted to adopt a “challenger-by-challenger” approach, the standard accrual rule that §2401(a) exemplifies is plaintiff specific.","The Board argues that §2401(a) should not use a ""challenger-by-challenger"" method, but the standard accrual rule in §2401(a) is specific to the plaintiff."
"Importantly, contemporaneous dictionaries also explained that a cause of action accrues ""on [the] date that damage is sustained and not [the] date when causes are set in motion which ultimately produce injury.""","Importantly, dictionaries from that time said a cause of action starts on the date damage happens, not when the events leading to the damage begin."
"The Board leaves open the possibility that someone could bring an asapplied challenge to a rule when the agency relies on that rule in enforcement proceedings against that person, even if more than six years have passed since the rule’s promulgation.","The Board allows someone to challenge a rule when it is used against them in enforcement, even if more than six years have passed since the rule was made."
"The APA provisions grant Corner Post a cause of action subject to certain conditions, and §2401(a) sets the window within which Corner Post can assert its claim.","The APA provisions give Corner Post the right to sue under certain conditions, and §2401(a) sets the time limit for Corner Post to make its claim."
Statutes of limitations ‘require plaintiffs to pursue diligent prosecution of known claims’; statutes of repose reflect a ‘legislative judgment that a defendant should be free from liability after the legislatively determined period of time.’,"Statutes of limitations require people to quickly pursue their known claims. Statutes of repose mean that a defendant should be free from liability after a set time decided by law."
"The Board’s interpretation would thereby decouple the statute of limitations from any injury ‘such that the limitations period begins to run before a plaintiff can file a suit’—for some, but not all, suits governed by §2401(a).","The Board's interpretation would separate the time limit from any injury, making it start before a person can file a suit, but only for some suits under §2401(a)."
The Board’s arguments to the contrary lack merit.,"The Board's counterarguments are not strong."
Departing from the traditional rule is particularly inappropriate here because contemporaneous statutes demonstrate that Congress in 1948 knew how to create a limitations period that begins with the defendant’s action instead of the plaintiff’s injury.,Leaving the traditional rule is not right here because laws from 1948 show that Congress knew how to start the time limit with the defendant's action instead of the plaintiff's injury.
"While §702 equips injured parties with a cause of action, §704 limits the agency actions that are subject to judicial review.",§702 allows injured people to take legal action. §704 limits which agency actions can be reviewed by a court.
This traditional rule constitutes a strong background presumption.,This traditional rule is a strong starting point.
"Notwithstanding Crown Coat’s holding, the Board and the dissent try to marshal support from its dicta.","Despite Crown Coat’s decision, the Board and the dissent try to find support from its comments."
"Absent vacatur, the remedy for a regulated plaintiff would not automatically extend to other regulated parties.","Without cancellation, the solution for one regulated plaintiff would not automatically apply to others."
The Government’s current position on vacatur would de facto overrule Abbott Laboratories as to suits by unregulated parties.,The Government’s current position on vacatur would effectively overturn Abbott Laboratories for lawsuits by unregulated parties.
"To decide the facial challenges here, the courts below must explore the laws’ full range of applications—the constitutionally impermissible and permissible both—and compare the two sets.","The courts must look at all the ways the laws can be applied, both allowed and not allowed by the Constitution, and compare them."
But that conclusion would rest on a serious misunderstanding of First Amendment precedent and principle.,But that conclusion would be a serious misunderstanding of First Amendment rules and ideas.
