complex_sentence,simplified_sentence
Am 22. März 1985 unterzeichnete die Europäische Gemeinschaft gemeinsam mit mehreren Mitgliedstaaten das Wiener Übereinkommen zum Schutz der Ozonschicht und darauf folgend am 16. September 1987 auch das Montrealer Protokoll.,"Die Europäische Gemeinschaft und einige ihrer Mitgliedsstaaten unterzeichneten 1985 ein Abkommen, um die Ozonschicht zu schützen. Darauf folgte 1987 noch ein weiteres Abkommen in Montreal."
"Im folgenden Jahr wurde die VERORDNUNG (EWG) Nr. 3322/88, als erste europäische Verordnung zur Regelung ozonschädigender Stoffe verabschiedet.","Mit der Verordnung Nr. 3322/88 wurde zum ersten Mal eine europäische Verordnung zur Regelung von Stoffen, die das Ozon schaden können, erlassen."
"Zur Anpassung an die Änderungen des Montrealer Protokolls wurden durch nachfolgende Verordnungen die geregelten Substanzen immer weiter ergänzt und Ein- und Ausfuhr, Produktion und Verwendung weiter eingeschränkt, Fristen verkürzt und Substanzen letztendlich verboten.","Die EU änderte ihr Montrealer Protokoll mehrmals. Dabei wurde es strenger gemacht. So wurden neue Schadstoffe hinzugefügt und die Produktion, Einfuhr und Verwendung bereits regulierter Substanzen begrenzt. Außerdem wurden Fristen verkürzt und einige der Schadstoffe verboten."
Unternehmen müssen die Emissionen von geregelten Stoffen in die Umwelt verhindern oder auf ein Mindestmaß reduzieren.,"Unternehmen müssen die Schadstoffe, die sie freisetzen, minimieren oder ganz vermeiden."
"Francesco Calzolari stammte aus einer alteingesessenen Veroneser Familie, die sich bereits im 13. Jahrhundert unter Ezzelino da Romano einen Namen gemacht hatte.","Francesco Calzolari kam aus einer alten Familie in Verona. Seine Familie war schon im 13. Jahrhundert bekannt, weil sie dem italienischen Herrscher Ezzelino da Romano geholfen hatte."
"Francescos kindliche Neugierde beschränkte sich aber nicht nur auf die Botanik, auch Mineralien, Fossilien, und Insekten weckten sein Interesse, die er bei seinen Wanderungen mit seinem Vater sammelte.","Francesco war sehr neugierig. Er interessierte sich nicht nur für Pflanzen, sondern auch für Steine, alte Tierknochen und Insekten. Wenn er mit seinem Vater durch die Natur ging, sammelte er all diese Dinge."
"Die Apotheke seines Vaters wurde auch von Gelehrten aufgesucht, die dort ihre Meinungen und Erkenntnisse austauschten und die einen entscheidenden Einfluss auf den aufgeweckten, jungen Francesco Calzolari ausübten.",In der Apotheke seines Vaters trafen sich Gelehrte. Sie teilten ihre Gedanken und Entdeckungen mit einander und hatten großen Einfluss auf den jungen Francesco Calzolari.
"Calzolari trat in die Fußstapfen seines Vaters und widmete sich mit Hingabe seiner Arbeit in der Apotheke, deren Leitung er übernahm.","Nachdem sein Vater aus dem Geschäft ausgestiegen war, übernahm Calzolari dessen Position als Apothekeneigentümer. Er engagierte sich sehr für die Apotheke und führte sie erfolgreich weiter."
"Auch wenn ihn seine Arbeit als Apotheker davon abhielt, viel zu verreisen, unterhielt er ganze Reihe von Briefkontakten, unter anderem mit dem Züricher Botaniker Conrad Gessner und dem Nürnberger Arzt und Botaniker Joachim Camerarius dem Jüngeren.",Trotz seiner Arbeit als Apotheker hatte er viele Briefkontakte. Dazu gehörten der Züricher Botaniker Conrad Gessner und der Nürnberger Arzt und Botaniker Joachim Camerarius dem Jüngeren.
"Um den Monte Baldo noch näher zu sein, ließ sich Calzolari in Rivoli Veronese am südlichen Rand der Bergkette ein Landhaus errichten.",Calzolari ließ sich in Rivoli Veronese ein Haus an der Bergkette Monte Baldo bauen.
