complex_sentence,simplified_sentence
Am 22. März 1985 unterzeichnete die Europäische Gemeinschaft gemeinsam mit mehreren Mitgliedstaaten das Wiener Übereinkommen zum Schutz der Ozonschicht und darauf folgend am 16. September 1987 auch das Montrealer Protokoll.,Die Europäische Gemeinschaft unterzeichnete am 22. März 1985 das Wiener Übereinkommen zum Schutz der Ozonschicht und am 16. September 1987 das Montrealer Protokoll.
"Im folgenden Jahr wurde die VERORDNUNG (EWG) Nr. 3322/88, als erste europäische Verordnung zur Regelung ozonschädigender Stoffe verabschiedet.","Im nächsten Jahr wurde die Verordnung (EWG) Nr. 3322/88 verabschiedet. Es war die erste europäische Verordnung, die ozonschädigende Stoffe regelte."
"Zur Anpassung an die Änderungen des Montrealer Protokolls wurden durch nachfolgende Verordnungen die geregelten Substanzen immer weiter ergänzt und Ein- und Ausfuhr, Produktion und Verwendung weiter eingeschränkt, Fristen verkürzt und Substanzen letztendlich verboten.","Um das Montrealer Protokoll anzupassen, ergänzten nachfolgende Verordnungen die geregelten Substanzen. Außerdem wurden Einfuhr, Ausfuhr, Produktion und Verwendung weiter eingeschränkt. Fristen wurden verkürzt und bestimmte Substanzen schließlich verboten."
Unternehmen müssen die Emissionen von geregelten Stoffen in die Umwelt verhindern oder auf ein Mindestmaß reduzieren.,"Unternehmen müssen verhindern, dass schädliche Stoffe in die Umwelt gelangen, oder die Menge dieser Stoffe so gering wie möglich halten."
"Francesco Calzolari stammte aus einer alteingesessenen Veroneser Familie, die sich bereits im 13. Jahrhundert unter Ezzelino da Romano einen Namen gemacht hatte.","Francesco Calzolari kam aus einer alten Familie aus Verona, die schon im 13. Jahrhundert unter Ezzelino da Romano bekannt wurde."
"Francescos kindliche Neugierde beschränkte sich aber nicht nur auf die Botanik, auch Mineralien, Fossilien, und Insekten weckten sein Interesse, die er bei seinen Wanderungen mit seinem Vater sammelte.","Francesco interessierte sich nicht nur für Pflanzen, sondern auch für Mineralien, Fossilien und Insekten, die er mit seinem Vater sammelte."
"Die Apotheke seines Vaters wurde auch von Gelehrten aufgesucht, die dort ihre Meinungen und Erkenntnisse austauschten und die einen entscheidenden Einfluss auf den aufgeweckten, jungen Francesco Calzolari ausübten.","Gelehrte besuchten die Apotheke seines Vaters, um Meinungen und Erkenntnisse auszutauschen. Sie beeinflussten den aufgeweckten jungen Francesco Calzolari stark."
"Calzolari trat in die Fußstapfen seines Vaters und widmete sich mit Hingabe seiner Arbeit in der Apotheke, deren Leitung er übernahm.","Calzolari folgte den Schritten seines Vaters und arbeitete mit Leidenschaft in der Apotheke, die er leitete."
"Auch wenn ihn seine Arbeit als Apotheker davon abhielt, viel zu verreisen, unterhielt er ganze Reihe von Briefkontakten, unter anderem mit dem Züricher Botaniker Conrad Gessner und dem Nürnberger Arzt und Botaniker Joachim Camerarius dem Jüngeren.","Auch wenn er als Apotheker nicht viel reisen konnte, schrieb er viele Briefe. Er hatte Kontakt mit dem Züricher Botaniker Conrad Gessner und dem Nürnberger Arzt und Botaniker Joachim Camerarius dem Jüngeren."
"Um den Monte Baldo noch näher zu sein, ließ sich Calzolari in Rivoli Veronese am südlichen Rand der Bergkette ein Landhaus errichten.","Calzolari ließ sich in Rivoli Veronese ein Landhaus am südlichen Rand des Monte Baldo bauen, um näher am Berg zu sein."
