complex_sentence,simplified_sentence
Am 22. März 1985 unterzeichnete die Europäische Gemeinschaft gemeinsam mit mehreren Mitgliedstaaten das Wiener Übereinkommen zum Schutz der Ozonschicht und darauf folgend am 16. September 1987 auch das Montrealer Protokoll.,Am 22. März 1985 unterzeichnete die Europäische Gemeinschaft das Wiener Übereinkommen zum Schutz der Ozonschicht.
"Im folgenden Jahr wurde die VERORDNUNG (EWG) Nr. 3322/88, als erste europäische Verordnung zur Regelung ozonschädigender Stoffe verabschiedet.",Im Jahr 2020 wurde die Verordnung zur Regelung ozonschädigender Stoffe verabschiedet.
"Zur Anpassung an die Änderungen des Montrealer Protokolls wurden durch nachfolgende Verordnungen die geregelten Substanzen immer weiter ergänzt und Ein- und Ausfuhr, Produktion und Verwendung weiter eingeschränkt, Fristen verkürzt und Substanzen letztendlich verboten.",Zur Anpassung an die Änderungen des Montrealer Protokolls wurden die geregelten Substanzen immer weiter eingeschränkt. Außerdem wurden Fristen verkürzt und Substanzen letztendlich verboten.
Unternehmen müssen die Emissionen von geregelten Stoffen in die Umwelt verhindern oder auf ein Mindestmaß reduzieren.,Die Firmen müssen die Emissionen von geregelten Stoffen in die Umwelt verhindern.
"Francesco Calzolari stammte aus einer alteingesessenen Veroneser Familie, die sich bereits im 13. Jahrhundert unter Ezzelino da Romano einen Namen gemacht hatte.",Im 13. Jahrhundert wurde er von einer Veroneser Familie gezüchtet.
"Francescos kindliche Neugierde beschränkte sich aber nicht nur auf die Botanik, auch Mineralien, Fossilien, und Insekten weckten sein Interesse, die er bei seinen Wanderungen mit seinem Vater sammelte.","Der Bub sammelte nämlich Mineralien, Fossilien, Insekten und Insekten, die er bei seinen Wanderungen mit seinem Vater sammelte."
"Die Apotheke seines Vaters wurde auch von Gelehrten aufgesucht, die dort ihre Meinungen und Erkenntnisse austauschten und die einen entscheidenden Einfluss auf den aufgeweckten, jungen Francesco Calzolari ausübten.","Die Apotheke seines Vaters wurde auch von Gelehrten aufgesucht, die dort ihre Meinungen und Erkenntnisse tauschten."
"Calzolari trat in die Fußstapfen seines Vaters und widmete sich mit Hingabe seiner Arbeit in der Apotheke, deren Leitung er übernahm.",Die Arbeit in der Apotheke wurde ihm von seinem Vater übernahm.
"Auch wenn ihn seine Arbeit als Apotheker davon abhielt, viel zu verreisen, unterhielt er ganze Reihe von Briefkontakten, unter anderem mit dem Züricher Botaniker Conrad Gessner und dem Nürnberger Arzt und Botaniker Joachim Camerarius dem Jüngeren.","Auch wenn ihn seine Arbeit als Apotheker davon abhielt, viel zu verreisen, unterhielt er ganze Reihe von Briefkontakten mit den Jüngeren."
"Um den Monte Baldo noch näher zu sein, ließ sich Calzolari in Rivoli Veronese am südlichen Rand der Bergkette ein Landhaus errichten.",In Rivoli Veronese am südlichen Rand von der Bergkette konnte man ein Landhaus errichten.
