Original,Simplified
"The N1 road also designated as RN1, is a road in Central African Republic that spans a total distance of 498 kilometers.","The N1 road, also called RN1, is a road in Central African Republic. It goes from Kinshasa to Kinshasa."
"Originating in the capital city of Bangui, the road extends northwest, ultimately terminating at the international border with Chad, near the town of Békoro.","The road starts in the capital city of Bangui. It goes northwest. It ends at the international border with Chad, near the town of Békoro."
"As a key component of the country's road network, the N1 facilitates connectivity between the capital and the northeastern regions, playing a role in the nation's economic and social development.","As a key part of the country's road network, the N1 makes it easier to travel between the capital and the northeastern regions. It helps the country's economic and social development."
"The N1 route commences in the heart of Bangui, the capital city of the Central African Republic, near the Ubangi River, which forms the border with the Democratic Republic of Congo.","The route starts in Bangui, the capital city of the Central African Republic. It is near the Ubangi River. This river is the border with the Democratic Republic of Congo."
"The terrain along this stretch is characterized by flat to gently sloping land, punctuated by shallow riverbeds with larger trees and sparse shrub and low forestation elsewhere.",The land along this stretch is flat to gently sloping land. There are shallow riverbeds with larger trees and small shrubs where there was no forest before.
"She married Marcus Claudius Marcellus Aeserninus, consul in 22 BCE, and had at least one son, Marcus Claudius Marcellus Aeserninus the younger, who was renowned as a promising rhetorician, having been instructed in rhetoric by his grandfather Asinius.","She married Marcus Claudius Marcellus Aeserninus, consul in 22 BC, and had at least one son, Marcus Claudius Marcellus Aeserninus the younger. He was known as a good writer, and his grandfather Asinius had taught him rhetoric."
"Asinia was a noblewoman of ancient Roman who was the daughter of Gaius Asinius Pollio, who was Roman consul 40 BCE.","She was the daughter of a Roman consul. His name was Gaius Asinius Pollio, and he was Roman consul 40 BC."
"Influenced by his father Jinghui, whom was also a linguist, Saišangga was proficient in Manchu, Mongolian and Chinese. ","His father, Jinghui, was also a linguist. Saišangga learned to speak Manchu, Mongolian and Chinese languages."
"In 1853, Saišangga was stripped of official position, imprisoned and waited for execution","In 1853, Saišangga lost his official position. He was put in prison and executed."
"2-Chloronicotinic acid (2-CNA) is a halogenated derivative of nicotinic acid that is used as an intermediate in the production of a variety of bioactive chemicals,[4] including boscalid[5] and diflufenican.","2-Chloronicotinic acid (2-CNA) is a chemical compound. It is a halogenated derivative of nicotinic acid. It is used to make some bioactive chemicals, like boscalid and diflufenican."
Dasymutilla sicheliana is a species of velvet ant found predominantly in Mexico and the U.S. state of Arizona.,Dasymutilla sicheliana is a species of velvet ant. It can be found in Mexico and the United States.
"He is known for the brutality of his raids, his rivalry with the sons of Cochise, and for the murder of several white men including Medal of Honor recipient Orizoba Spence.","He is known for the brutality of his raids, his rivalry with the sons of Cochise, and for the murder of several white people, including a Medal of Honor winner."
His actions led to the forced relocation of the Chiricahua to the San Carlos Apache Indian Reservation,His actions caused the Chiricahua tribe to move to the San Carlos Apache Indian Reservation.
"After the death of Cochise, Pionsenay remained loyal to his brother during the schism between Skinya and Tahzay in 1875.","After Cochise died, Pionsenay stayed with his brother. When Skinya and Tahzay started a war in 1875, Pionsenay joined them."
"In 1876, the Sulphur Springs overland mail station in the Arizona Territory was raided by a band of Apaches led by Pionsenay.","In 1876, the Sulphur Springs mail station in Arizona was raided by a group of Apaches. The Apaches were led by Pionsenay."
The attack was instigated after an argument over whiskey sales.,The incident happened after an argument over whiskey sales.
"The two were initially buried at the station, however, the bodies were later exhumed for interment at Fort Bowie.","The two were initially buried at the station, but their bodies were later moved to Fort Bowie, Texas."
"Due to the influx of Catholic immigration in Zurich in the 19th century, the church was built from 1893 to 1894 under the Romanesque Revival architecture designs of the architect August Hardegger.","Because a lot of Catholic people moved to ZÃ 1\/4 rich in the 19th century, the church was built from 1893 to 1894. The architect August Hardegger designed the building."
"In the 19th century, more and more Catholics from eastern and central Switzerland migrated to Zurich, and the need for a Catholic church arose.","In the 19th century, more and more Catholics from eastern and central Switzerland moved to Zurich. This meant that more Catholics needed a church."
"In 1889, the association attempted to acquire a building site on the shores of Lake Zurich, but was prevented due to religious reservations in Zurich.","In 1889, the group tried to buy a building site on the shores of Lake Zurich. They could not because of religious reservations in Zurich."
"After this failure, the community made an appeal for donations with the approval of the Bishop of Chur, which drew attention to the struggling situation of the Catholics in Zurich and eventually provided the necessary funds to purchase lots and plan church buildings.","After this failure, the community made an appeal for donations with the approval of the Bishop of Chur. This made the Bishop of Chur aware of the problems of the Catholics in Zurich and gave them money to buy lots and plan church buildings."
"When the church was consecrated in 1894, its decorations were simple due to a lack of funds.","When the church was built in 1894, its decorations were simple because there was no money."
"Schreiber received a gold medal for his flight at the 1936 Summer Olympics closing ceremony, and is the only person to have ever received an Olympic medal for aeronautics, since the prize was subsequently discontinued.","Schreiber received a gold medal for his flight at the 1936 Summer Olympics closing ceremony. He is the only person to have ever received an Olympic medal for aeronautics, but he did not use the medal."
"In 1976, his family left him because they could not cope with his lifestyle.","In 1976, his family left him because they could not support him."
"In the first round of qualification, 12 teams who were not participating at the 2024 European Championship will play a singled round-robin with the winners advancing to the second phase, where the teams will be joined by the remaining ten teams from the European Championship and play play-off games to determine the qualified teams.","In the first round of qualification, 12 teams who were not in the European Championship will play a single round-robin. The winners of the round-robin will move on to the second phase, where the teams will be joined by the remaining ten teams from the European Championship and play more games."
"NGC 5630 is listed as a field galaxy, i.e. one does not belong to a larger galaxy group or cluster and hence is gravitationally alone.",NGC 5630 is a field galaxy. This means that it is not in a larger galaxy group or cluster. It is gravitationally alone.
"The church is colloquially known as the Rác Church streaming from the word Rascians, a historical term for Serbs.","The church is commonly known as the Rác Church. The name comes from the word Rascians, a Serb word."
Sometimes this species occurs as an annual plant if it is growing in certain conditions.,Sometimes this species is grown as an annual plant if it is in good conditions.
"Acmispon tomentosus var. tomentosus is the one subspecies in the genus, generally identified by having less red in their buds and a lot more hairy leaves.",Acanthomintha tomentosus var. tomentosus is the only subspecies in the genus. It has less red in its buds and much more hairy leaves.
"Prior to his acting debut, he was one of the regular hosts of the university student-focused talk show College Talk","Before he started acting, he was one of the regular hosts of the college talk show College Talk."
Lin made his acting debut with a minor role in the 2013 romance film Campus Confidential.,His first acting role was a small part in the 2013 romance film Campus Confidential.
"In 2021, Lin received his first sole male lead role in the fantasy series The Pond [zh] directed by Cheng Wei-hao,[22] for which he received a nomination for Best Leading Actor in a Miniseries or Television Film in the 57th Golden Bell Awards for this role.","In 2021, Lin received his first sole male lead role in the fantasy series The Pond [zh] directed by Cheng Wei-hao. He was nominated for the Golden Bell Awards for Best Leading Actor in a Miniseries or Television Film for this role."
"In 48 years of service, he oversaw the growth of the Duke University Library (originally Trinity College) from a single room in 1898 to over a million books and documents in modern facilities at his retirement in 1946.","In 48 years of service, he helped the Duke University Library grow from a single room in 1898 to over a million books and documents in modern facilities when he retired in 1946."
"Breedlove was born in 1875 in Granville County, North Carolina near Oxford, to John Henry Breedlove and Susan Caroline Hunt Breedlove. ","She was born in 1875 in Granville County, North Carolina. Her parents were called John Henry Breedlove and Susan Caroline Hunt."
"As the collection grew rapidly over the next 30 years, Breedlove labored to manage the flood of donations and purchases amid staff shortages.","As the collection grew quickly over the next 30 years, Breedlove worked hard to manage the many donations and purchases."
"He was involved in the planning for three new library buildings, each necessitating a transfer of the entire collection.",He helped plan for three new library buildings. Each new building needed a transfer of the entire collection.
"In 1902, a major gift by James Buchanan Duke enabled the construction of a new library which opened in 1903, supplemented by an additional gift of $10,000 to purchase books.","In 1902, a large gift by James Buchanan Duke made it possible to build a new library. It opened in 1903. Another gift of $10,000 made it possible to buy books."
"The home he built in 1915 at 407 Watts Street in Durham's Trinity Historic District, a ""restrained Neo-Classical design reminiscent of the more elaborate (former) Watts Hospital"", was designated an historic site with a plaque from the Historic Preservation Society of Durham in 2006.","The home he built in 1915 at 407 Watts Street in Durham's Trinity Historic District, was designated an historic site with a plaque from the Historic Preservation Society of Durham in 2006. It is a ""restrained Neo-Classical design reminiscent of the more elaborate Watts Hospital""."
"Before the 2023 World Championship, national coach Alfred Gislason called up Fischer to the extended squad of the German senior national team.","Before the 2023 World Championship, German national team coach Alfred Gislason called him up to the senior team."
"Initially formed as a photo reconnaissance flight at PAF Base Mauripur, the squadron has evolved over the decades, participating in significant missions and conflicts.","The squadron was first formed as a photo reconnaissance flight at PAF Base Mauripur. Over the years, it has taken part in many missions and conflicts."
"After being disbanded in 1972 and reactivated in 1977, the squadron transitioned through various aircraft, including the Dassault Mirage IIIRP and Shenyang F-6, before adopting the Chengdu F-7P Skybolts and later the F-7PGs.","After being disbanded in 1972 and reactivated in 1977, the squadron changed aircraft several times, including the Dassault Mirage IIIRP and Shenyang F-6. It then changed to the Chengdu F-7P Skybolts."
The squadron celebrated its Golden Jubilee in 2008 and continues to play a vital role in PAF’s operational activities and exercises.,The squadron celebrated its golden jubilee in 2008. It still plays an important role in PAF operations and exercises.
The unit was originally established in March 1956 as a photo reconnaissance flight at PAF Base Mauripur flying Lockheed RT-33 Shooting Stars under the command of Flight Lieutenant Zulfiqar Ali Khan.,The unit was first set up in March 1956 as a photo reconnaissance flight at PAF Base Mauripur. The group flew Lockheed RT-33 Shooting Stars at first.
"On the outbreak of the 1965 Indo-Pakistani war, the squadron flew 24 Aerial reconnaissance missions with the Lockheed RT-33s providing vital photographic data coverage to the PAF and the Army.","On the outbreak of the 1965 Indo-Pakistani war, the squadron flew 24 aerial reconnaissance missions. The RT-33s gave the Pakistan Air Force and the Army important information."
"After the war, the squadron was disbanded in June 1972 with it's assets transferred to No. 2 Squadron.","After the war, the squadron was closed in June 1972. Its aircraft were used by No. 2 Squadron."
Grgić was called up to the extended squad of the German national team for a training course in May 2024 and made his first appearance in a friendly against Sweden on 12 May 2024.,"In May 2024, he was called up to the German national team for a training course. His first match for the national team was against Sweden on 12 May 2024."
"The presence of ancient remains at North Elmham in Norfolk, and South Elmham in Suffolk has lead to both sites being championed as the location although neither has remains dating to the seventh century.","The presence of ancient remains at North Elmham in Norfolk, and South Elmham in Suffolk has lead to both sites being said to be the place, but no remains have been found there."
"He was an experienced mountaineer, and had reconnoitred the world’s third highest mountain, Kanchenjunga, before joining the 1922 Mount Everest expedition.","He had also climbed the world's third highest mountain, Kanchenjunga. He joined the first ever Mount Everest expedition in 1922."
"He died in 1959, reportedly while playing cricket.","He died in 1959, probably while playing cricket."
"The prominent Monaldeschi family has various palaces in Central Italy, and exerted significant power in medieval Orvieto.",The important Monaldeschi family has many buildings in Central Italy. They had a lot of power in medieval Orvieto.
