Sentence ID,Source,Target,System,Dataset,Family,Edit Type,Edit Sub-Type,Edit Classification,Structure Sub-Type,Quality,Information Impact,Grammar Error,Significance,Input Index,Output Index,Constituent Edits,Is Constituent Edit,Parent Edit Type,Constituent Input Index,Constituent Output Index,Input Text,Output Text
SALSA_EXAMPLES_001,"Further important aspects of Fungi in Art relate to preservation of artworks from fungal decay and contamination, as well as initiatives fostering and supporting works able to stimulate dialogues between mycologists (fungal researchers), artists, and society (as for example from the 'Massee Art Grant' by the British Mycological Society or works encouraged and supported by the Fungi Foundation).","An important aspect of Fungi in Art is the protection of artwork from fungal damage. || Another important aspect is to make sure mycologists, artists, and society are all on the same page.",SALSA_EXAMPLES,SALSA_EXAMPLES,Conceptual,deletion,,Good Deletion,,No Error,Generalization,No,3,"[[259, 397]]",,0,False,N/A,[],[],(as for example from the 'Massee Art Grant' by the British Mycological Society or works encouraged and supported by the Fungi Foundation).,
SALSA_EXAMPLES_001,"Further important aspects of Fungi in Art relate to preservation of artworks from fungal decay and contamination, as well as initiatives fostering and supporting works able to stimulate dialogues between mycologists (fungal researchers), artists, and society (as for example from the 'Massee Art Grant' by the British Mycological Society or works encouraged and supported by the Fungi Foundation).","An important aspect of Fungi in Art is the protection of artwork from fungal damage. || Another important aspect is to make sure mycologists, artists, and society are all on the same page.",SALSA_EXAMPLES,SALSA_EXAMPLES,Conceptual,deletion,Bad Deletion,Bad Deletion,,Error,Generalization,No,1,"[[216, 237]]",,0,False,N/A,[],[],"(fungal researchers),",
SALSA_EXAMPLES_001,"Further important aspects of Fungi in Art relate to preservation of artworks from fungal decay and contamination, as well as initiatives fostering and supporting works able to stimulate dialogues between mycologists (fungal researchers), artists, and society (as for example from the 'Massee Art Grant' by the British Mycological Society or works encouraged and supported by the Fungi Foundation).","An important aspect of Fungi in Art is the protection of artwork from fungal damage. || Another important aspect is to make sure mycologists, artists, and society are all on the same page.",SALSA_EXAMPLES,SALSA_EXAMPLES,Conceptual,deletion,,Good Deletion,,No Error,Generalization,No,2,"[[95, 113]]",,0,False,N/A,[],[],"and contamination,",
SALSA_EXAMPLES_001,"Further important aspects of Fungi in Art relate to preservation of artworks from fungal decay and contamination, as well as initiatives fostering and supporting works able to stimulate dialogues between mycologists (fungal researchers), artists, and society (as for example from the 'Massee Art Grant' by the British Mycological Society or works encouraged and supported by the Fungi Foundation).","An important aspect of Fungi in Art is the protection of artwork from fungal damage. || Another important aspect is to make sure mycologists, artists, and society are all on the same page.",SALSA_EXAMPLES,SALSA_EXAMPLES,Conceptual,deletion,,Good Deletion,,No Error,Generalization,No,3,"[[125, 172]]",,0,False,N/A,[],[],initiatives fostering and supporting works able,
SALSA_EXAMPLES_001,"Further important aspects of Fungi in Art relate to preservation of artworks from fungal decay and contamination, as well as initiatives fostering and supporting works able to stimulate dialogues between mycologists (fungal researchers), artists, and society (as for example from the 'Massee Art Grant' by the British Mycological Society or works encouraged and supported by the Fungi Foundation).","An important aspect of Fungi in Art is the protection of artwork from fungal damage. || Another important aspect is to make sure mycologists, artists, and society are all on the same page.",SALSA_EXAMPLES,SALSA_EXAMPLES,Lexical,substitution,Trivial Change,Trivial Substitution,,Trivial,Same Information,No,0,"[[0, 25]]","[[0, 19]]",0,False,N/A,[],[],Further important aspects,An important aspect
SALSA_EXAMPLES_001,"Further important aspects of Fungi in Art relate to preservation of artworks from fungal decay and contamination, as well as initiatives fostering and supporting works able to stimulate dialogues between mycologists (fungal researchers), artists, and society (as for example from the 'Massee Art Grant' by the British Mycological Society or works encouraged and supported by the Fungi Foundation).","An important aspect of Fungi in Art is the protection of artwork from fungal damage. || Another important aspect is to make sure mycologists, artists, and society are all on the same page.",SALSA_EXAMPLES,SALSA_EXAMPLES,Conceptual,substitution,,Good Substitution,,No Error,Same Information,No,3,"[[42, 64]]","[[36, 53]]",0,False,N/A,[],[],relate to preservation,is the protection
SALSA_EXAMPLES_001,"Further important aspects of Fungi in Art relate to preservation of artworks from fungal decay and contamination, as well as initiatives fostering and supporting works able to stimulate dialogues between mycologists (fungal researchers), artists, and society (as for example from the 'Massee Art Grant' by the British Mycological Society or works encouraged and supported by the Fungi Foundation).","An important aspect of Fungi in Art is the protection of artwork from fungal damage. || Another important aspect is to make sure mycologists, artists, and society are all on the same page.",SALSA_EXAMPLES,SALSA_EXAMPLES,Conceptual,substitution,,Good Substitution,,No Error,Same Information,No,3,"[[89, 94]]","[[77, 84]]",0,False,N/A,[],[],decay,damage.
SALSA_EXAMPLES_001,"Further important aspects of Fungi in Art relate to preservation of artworks from fungal decay and contamination, as well as initiatives fostering and supporting works able to stimulate dialogues between mycologists (fungal researchers), artists, and society (as for example from the 'Massee Art Grant' by the British Mycological Society or works encouraged and supported by the Fungi Foundation).","An important aspect of Fungi in Art is the protection of artwork from fungal damage. || Another important aspect is to make sure mycologists, artists, and society are all on the same page.",SALSA_EXAMPLES,SALSA_EXAMPLES,Lexical,substitution,Trivial Change,Trivial Substitution,,Trivial,Same Information,No,0,"[[68, 76]]","[[57, 64]]",0,False,N/A,[],[],artworks,artwork
SALSA_EXAMPLES_001,"Further important aspects of Fungi in Art relate to preservation of artworks from fungal decay and contamination, as well as initiatives fostering and supporting works able to stimulate dialogues between mycologists (fungal researchers), artists, and society (as for example from the 'Massee Art Grant' by the British Mycological Society or works encouraged and supported by the Fungi Foundation).","An important aspect of Fungi in Art is the protection of artwork from fungal damage. || Another important aspect is to make sure mycologists, artists, and society are all on the same page.",SALSA_EXAMPLES,SALSA_EXAMPLES,Conceptual,substitution,,Good Substitution,,No Error,Same Information,No,3,"[[176, 203]]","[[119, 128], [163, 188]]",0,False,N/A,[],[],stimulate dialogues between,make sure | are all on the same page.
SALSA_EXAMPLES_002,"In time Eliot relocated to Washington, D.C., first as director of the National Capital Park and Planning Commission until 1933, involved in the development of the National Mall, then until 1943 as Director of the National Resources Planning Board, which formed part of the Public Works Administration.","When he moved to Washington, D.C., he worked for the National Capital Park and Planning Commission until 1933. || He helped with the building of the National Mall. || After that, he worked for the National Resources Planning Board, which was part of the Public Works Administration.",SALSA_EXAMPLES,SALSA_EXAMPLES,Conceptual,deletion,,Good Deletion,,No Error,Generalization,No,2,"[[183, 193]]",,0,False,N/A,[],[],until 1943,
SALSA_EXAMPLES_002,"In time Eliot relocated to Washington, D.C., first as director of the National Capital Park and Planning Commission until 1933, involved in the development of the National Mall, then until 1943 as Director of the National Resources Planning Board, which formed part of the Public Works Administration.","When he moved to Washington, D.C., he worked for the National Capital Park and Planning Commission until 1933. || He helped with the building of the National Mall. || After that, he worked for the National Resources Planning Board, which was part of the Public Works Administration.",SALSA_EXAMPLES,SALSA_EXAMPLES,Lexical,deletion,Trivial Change,Trivial Deletion,,Trivial,Generalization,No,0,"[[178, 182]]",,0,False,N/A,[],[],then,
