Sentence ID,Source,Target,System,Dataset,Family,Edit Type,Edit Sub-Type,Edit Classification,Structure Sub-Type,Quality,Information Impact,Grammar Error,Significance,Input Index,Output Index,Constituent Edits,Is Constituent Edit,Parent Edit Type,Constituent Input Index,Constituent Output Index,Input Text,Output Text,has_specialized_terms,contains_named_entity
ChatGPT_001,"The N1 road also designated as RN1, is a road in Central African Republic that spans a total distance of 498 kilometers.","The N1 road, also called RN1, is a road in the Central African Republic. || It is 498 kilometers long.",ChatGPT,wikiEN,Conceptual,substitution,,Good Substitution,,No Error,Same Information,No,2,"[[17, 27]]","[[18, 24]]",0,False,,[],[],designated,called,False,False
ChatGPT_001,"The N1 road also designated as RN1, is a road in Central African Republic that spans a total distance of 498 kilometers.","The N1 road, also called RN1, is a road in the Central African Republic. || It is 498 kilometers long.",ChatGPT,wikiEN,Conceptual,insertion,,Trivial Insertion,,No Error,Elaboration,No,1,,"[[43, 46]]",0,False,,[],[],,the,False,False
ChatGPT_001,"The N1 road also designated as RN1, is a road in Central African Republic that spans a total distance of 498 kilometers.","The N1 road, also called RN1, is a road in the Central African Republic. || It is 498 kilometers long.",ChatGPT,wikiEN,Syntax,split,Sentence Split,Good Split,,No Error,Same Information,No,1,,,1,False,,"[[[74, 78]]]","[[[76, 78]]]",,,False,False
ChatGPT_001,"The N1 road also designated as RN1, is a road in Central African Republic that spans a total distance of 498 kilometers.","The N1 road, also called RN1, is a road in the Central African Republic. || It is 498 kilometers long.",ChatGPT,wikiEN,Syntax,structure,Part of Speech,Trivial Structure,Part of Speech,Trivial,Same Information,No,0,,,1,False,,"[[[79, 104]]]","[[[76, 78], [97, 101]]]",,,False,False
ChatGPT_002,"Originating in the capital city of Bangui, the road extends northwest, ultimately terminating at the international border with Chad, near the town of Békoro.",The road starts in Bangui and goes northwest to the border with Chad near Békoro.,ChatGPT,wikiEN,Conceptual,deletion,Bad Deletion,Bad Deletion,,Error,Generalization,No,1,"[[19, 34]]",,0,False,,[],[],capital city of,,False,True
ChatGPT_002,"Originating in the capital city of Bangui, the road extends northwest, ultimately terminating at the international border with Chad, near the town of Békoro.",The road starts in Bangui and goes northwest to the border with Chad near Békoro.,ChatGPT,wikiEN,Conceptual,substitution,,Good Substitution,,No Error,Same Information,No,2,"[[43, 59]]","[[30, 34]]",0,False,,[],[],the road extends,goes,False,False
ChatGPT_002,"Originating in the capital city of Bangui, the road extends northwest, ultimately terminating at the international border with Chad, near the town of Békoro.",The road starts in Bangui and goes northwest to the border with Chad near Békoro.,ChatGPT,wikiEN,Conceptual,deletion,,Good Deletion,,No Error,Generalization,No,1,"[[138, 149]]",,0,False,,[],[],the town of,,False,False
ChatGPT_002,"Originating in the capital city of Bangui, the road extends northwest, ultimately terminating at the international border with Chad, near the town of Békoro.",The road starts in Bangui and goes northwest to the border with Chad near Békoro.,ChatGPT,wikiEN,Lexical,deletion,Trivial Change,Trivial Deletion,,Trivial,Generalization,No,0,"[[101, 114]]",,0,False,,[],[],international,,False,False
ChatGPT_002,"Originating in the capital city of Bangui, the road extends northwest, ultimately terminating at the international border with Chad, near the town of Békoro.",The road starts in Bangui and goes northwest to the border with Chad near Békoro.,ChatGPT,wikiEN,Syntax,structure,Clausal Structure,Good Structure,Clausal Structure,No Error,Same Information,No,2,,,1,False,,"[[[0, 11]]]","[[[9, 15]]]",,,False,False
ChatGPT_002,"Originating in the capital city of Bangui, the road extends northwest, ultimately terminating at the international border with Chad, near the town of Békoro.",The road starts in Bangui and goes northwest to the border with Chad near Békoro.,ChatGPT,wikiEN,Syntax,reorder,Component-level Reorder,Good Reorder,,No Error,Same Information,No,2,"[[43, 51]]","[[0, 8]]",0,False,,[],[],the road,The road,False,False
